contrast,species,diversity,source,mean,q2.5,median,q97.5,probability_positive
high_minus_low_biomass,Barley,mixture,Deep (50-75 cm),0.054023244138374386,-0.17982946594042393,0.01502109005294855,0.43083009254233184,0.608875
high_minus_low_biomass,Barley,mixture,Middle (15-30 cm),0.04323395703055158,-0.3831338119872257,0.005291226709408112,0.6484592659940576,0.51025
high_minus_low_biomass,Barley,mixture,Shallow (0-10 cm),-0.09725720116892597,-0.6024879354099136,-0.07724651549687434,0.3019293623313235,0.365125
high_minus_low_biomass,Barley,monoculture,Deep (50-75 cm),0.05332220868336884,-0.15997664888366453,0.002349510844594953,0.5888301866024683,0.595625
high_minus_low_biomass,Barley,monoculture,Middle (15-30 cm),0.03736921611439864,-0.6173138144810026,0.004224162004263066,0.8006584878343452,0.50525
high_minus_low_biomass,Barley,monoculture,Shallow (0-10 cm),-0.09069142479776747,-0.7544285738501607,-0.07252342028838998,0.5362601123812796,0.406375
high_minus_low_biomass,Bean,mixture,Deep (50-75 cm),-0.08364728169593463,-0.894894316583772,-0.00010808909239032441,0.12734052151560737,0.479625
high_minus_low_biomass,Bean,mixture,Middle (15-30 cm),-0.003507065329777425,-0.8814326365053217,0.05439966749522189,0.39868393945978564,0.636375
high_minus_low_biomass,Bean,mixture,Shallow (0-10 cm),0.08715434702571206,-0.2554238611564098,-0.00445195984540972,0.809527925233504,0.4885
high_minus_low_biomass,Bean,monoculture,Deep (50-75 cm),-0.060321624339386475,-0.8558335278853556,-3.135739774033613e-05,0.19074232755013557,0.470875
high_minus_low_biomass,Bean,monoculture,Middle (15-30 cm),0.012235614590017242,-0.9485864176724904,0.059475702999720284,0.6270281306238473,0.63075
high_minus_low_biomass,Bean,monoculture,Shallow (0-10 cm),0.04808600974936924,-0.49366457307440587,-0.02136408657955954,0.8871873312244857,0.45225
high_minus_low_biomass,Linseed,mixture,Deep (50-75 cm),0.31243805447818557,-0.2158935911692818,0.10336853968033788,0.9682000737588055,0.686
high_minus_low_biomass,Linseed,mixture,Middle (15-30 cm),0.349697315058578,-0.33303316865600546,0.4685883605285087,0.9784027143512826,0.73325
high_minus_low_biomass,Linseed,mixture,Shallow (0-10 cm),-0.6621353695367637,-0.8262889394108645,-0.6828044834229947,-0.394515884144108,0.00975
high_minus_low_biomass,Linseed,monoculture,Deep (50-75 cm),0.26812402134112134,-0.1753168330067501,0.015070912612637372,0.9756748067496478,0.6395
high_minus_low_biomass,Linseed,monoculture,Middle (15-30 cm),0.33265309358350764,-0.460385009174278,0.3911720502756325,0.9854532063019034,0.7635
high_minus_low_biomass,Linseed,monoculture,Shallow (0-10 cm),-0.600777114924629,-0.9009286998545568,-0.6328730106326186,-0.13850263753723244,0.009875
high_minus_low_biomass,OSR,mixture,Deep (50-75 cm),0.11861614911289203,-0.0625091596725966,0.12292447105863832,0.32458660531120787,0.88775
high_minus_low_biomass,OSR,mixture,Middle (15-30 cm),0.232033167089492,-0.19459268531268034,0.25179205379698866,0.6772270465312031,0.79875
high_minus_low_biomass,OSR,mixture,Shallow (0-10 cm),-0.35064931620238404,-0.6647324182622243,-0.35819045627066404,-0.014913593671762858,0.02075
high_minus_low_biomass,OSR,monoculture,Deep (50-75 cm),0.08147392382720108,-0.07138747766938526,0.03459603180990849,0.3435125052208454,0.86
high_minus_low_biomass,OSR,monoculture,Middle (15-30 cm),0.1816428766795727,-0.3768805790422325,0.17478312956432965,0.7117740801310382,0.796375
high_minus_low_biomass,OSR,monoculture,Shallow (0-10 cm),-0.2631168005067738,-0.6920729332859616,-0.2427525436444596,0.12036789496025384,0.0605
high_minus_low_biomass,Pea,mixture,Deep (50-75 cm),0.02462960417977814,-0.14655023655565974,0.0019085070091617953,0.25086198566611856,0.608875
high_minus_low_biomass,Pea,mixture,Middle (15-30 cm),0.2161338506703242,-0.22626304507837966,0.22077835177005312,0.653508260582336,0.838125
high_minus_low_biomass,Pea,mixture,Shallow (0-10 cm),-0.24076345485010234,-0.6519797121605913,-0.24569770320937712,0.18709562434079283,0.113125
high_minus_low_biomass,Pea,monoculture,Deep (50-75 cm),0.028098087536664217,-0.13756196615881663,0.00018151025781549065,0.3893228600995429,0.58175
high_minus_low_biomass,Pea,monoculture,Middle (15-30 cm),0.3091134139113089,-0.36936340307395044,0.3305276179864899,0.8670931323925065,0.837125
high_minus_low_biomass,Pea,monoculture,Shallow (0-10 cm),-0.33721150144797307,-0.8576337934987677,-0.35906115607048694,0.3192557287008241,0.12375
high_minus_low_biomass,Wheat,mixture,Deep (50-75 cm),0.07573710901360976,-0.263021305073368,0.0019858108210536857,0.8921084847634252,0.572875
high_minus_low_biomass,Wheat,mixture,Middle (15-30 cm),0.13274977678037583,-0.5631247429835872,0.09464889545613636,0.883623591854463,0.6285
high_minus_low_biomass,Wheat,mixture,Shallow (0-10 cm),-0.2084868857939856,-0.704158455123984,-0.21884793600131897,0.3598048281360993,0.23375
high_minus_low_biomass,Wheat,monoculture,Deep (50-75 cm),0.0604486808639924,-0.2183903966288123,0.00011564498228449483,0.891420097247659,0.55175
high_minus_low_biomass,Wheat,monoculture,Middle (15-30 cm),0.12863129255398006,-0.5936792048833903,0.09557186038805066,0.9426049048178284,0.63175
high_minus_low_biomass,Wheat,monoculture,Shallow (0-10 cm),-0.18907997341797245,-0.7547754121017274,-0.17426563793394792,0.3758174613106036,0.253
mixture_minus_monoculture_at_median_biomass,Barley,mixture-monoculture,Deep (50-75 cm),0.01100325981890429,-0.12826963244861078,0.010220284626973185,0.09489648072750252,0.744875
mixture_minus_monoculture_at_median_biomass,Barley,mixture-monoculture,Middle (15-30 cm),-0.16125012003436218,-0.554206426719121,-0.12795471152194085,0.06353505903636242,0.13725
mixture_minus_monoculture_at_median_biomass,Barley,mixture-monoculture,Shallow (0-10 cm),0.15024686021545788,-0.05598868543102042,0.12373386022600208,0.5045947752502726,0.8635
mixture_minus_monoculture_at_median_biomass,Bean,mixture-monoculture,Deep (50-75 cm),0.0003484138724568717,-0.17406161291299585,0.0019399941940782422,0.11941157839887448,0.733875
mixture_minus_monoculture_at_median_biomass,Bean,mixture-monoculture,Middle (15-30 cm),-0.14615444265373542,-0.5602274815926255,-0.09988936633304987,0.04035154058374812,0.142375
mixture_minus_monoculture_at_median_biomass,Bean,mixture-monoculture,Shallow (0-10 cm),0.14580602878127857,-0.06427796351495206,0.11216460609050266,0.539383816661881,0.858875
mixture_minus_monoculture_at_median_biomass,Linseed,mixture-monoculture,Deep (50-75 cm),0.1031358104639342,-0.08201452401076874,0.016292233313387992,0.6323699824733001,0.7745
mixture_minus_monoculture_at_median_biomass,Linseed,mixture-monoculture,Middle (15-30 cm),-0.11538440481534112,-0.6315121709454593,-0.049105666277724835,0.1033039847969084,0.1385
mixture_minus_monoculture_at_median_biomass,Linseed,mixture-monoculture,Shallow (0-10 cm),0.012248594351406917,-0.1869022007968342,0.010869478976552334,0.2317923909319112,0.59975
mixture_minus_monoculture_at_median_biomass,OSR,mixture-monoculture,Deep (50-75 cm),0.0665533907370325,-0.07267362350588533,0.028785820810437898,0.3244695842286088,0.77925
mixture_minus_monoculture_at_median_biomass,OSR,mixture-monoculture,Middle (15-30 cm),-0.08722948641947116,-0.4362480235109585,-0.06084104438166804,0.13648115992894227,0.143125
mixture_minus_monoculture_at_median_biomass,OSR,mixture-monoculture,Shallow (0-10 cm),0.02067609568243866,-0.20448680481424794,0.029536952858386048,0.20773311070294181,0.668
mixture_minus_monoculture_at_median_biomass,Pea,mixture-monoculture,Deep (50-75 cm),-0.001997916925373778,-0.08684670906840739,0.0004221487281470478,0.039797198490338234,0.728375
mixture_minus_monoculture_at_median_biomass,Pea,mixture-monoculture,Middle (15-30 cm),-0.11521697734410012,-0.4277997565258637,-0.07838120145103719,0.024731644280916048,0.135875
mixture_minus_monoculture_at_median_biomass,Pea,mixture-monoculture,Shallow (0-10 cm),0.11721489426947389,-0.028456157640295538,0.084549363234937,0.42011674246564706,0.882125
mixture_minus_monoculture_at_median_biomass,Wheat,mixture-monoculture,Deep (50-75 cm),0.03418931133358113,-0.035932234776613295,0.0021672177876762523,0.2073607096356338,0.763875
mixture_minus_monoculture_at_median_biomass,Wheat,mixture-monoculture,Middle (15-30 cm),-0.12719185221596874,-0.45869223657992414,-0.1124832137576896,0.14629034518114875,0.129875
mixture_minus_monoculture_at_median_biomass,Wheat,mixture-monoculture,Shallow (0-10 cm),0.09300254088238763,-0.15792527067634177,0.09163152868008775,0.3770330210909143,0.724125
