block;plot;entry;culture;species;biomass
A;1;14;2-mixed;Barley;7.66
A;1;14;2-mixed;Linseed;0.52
A;2;4;mono;Pea;4.92
A;3;27;3-mixed;Barley;2.54
A;3;27;3-mixed;Bean;4.73
A;3;27;3-mixed;OSR;4.50
A;4;28;3-mixed;Barley;1.67
A;4;28;3-mixed;Linseed;0.98
A;4;28;3-mixed;Pea;2.44
A;6;2;mono;Barley;0.95
A;7;7;2-mixed;Barley;2.50
A;7;7;2-mixed;Wheat;2.05
A;8;1;mono;Wheat;1.93
A;9;16;2-mixed;Bean;6.82
A;9;16;2-mixed;Pea;3.35
A;10;5;mono;Linseed;0.52
A;11;9;2-mixed;Pea;9.42
A;11;9;2-mixed;Wheat;0.71
A;12;24;3-mixed;Linseed;0.99
A;12;24;3-mixed;Pea;7.15
A;12;24;3-mixed;Wheat;3.31
A;13;17;2-mixed;Bean;2.71
A;13;17;2-mixed;Linseed;0.84
A;14;25;3-mixed;OSR;3.45
A;14;25;3-mixed;Pea;1.80
A;14;25;3-mixed;Wheat;1.25
A;15;12;2-mixed;Barley;4.23
A;15;12;2-mixed;Bean;7.13
A;16;21;2-mixed;Linseed;0.93
A;16;21;2-mixed;OSR;4.03
A;17;8;2-mixed;Bean;5.93
A;17;8;2-mixed;Wheat;4.10
A;18;29;3-mixed;Barley;4.66
A;18;29;3-mixed;OSR;0.69
A;18;29;3-mixed;Pea;7.01
A;19;19;2-mixed;Linseed;0.65
A;19;19;2-mixed;Pea;7.26
A;20;22;3-mixed;Bean;3.97
A;20;22;3-mixed;Linseed;0.80
A;20;22;3-mixed;Wheat;1.08
A;21;11;2-mixed;OSR;5.76
A;21;11;2-mixed;Wheat;5.22
A;23;13;2-mixed;Barley;3.60
A;23;13;2-mixed;Pea;6.98
A;24;6;mono;OSR;2.29
A;25;20;2-mixed;OSR;2.22
A;25;20;2-mixed;Pea;4.93
A;26;15;2-mixed;Barley;3.72
A;26;15;2-mixed;OSR;2.71
A;27;10;2-mixed;Linseed;0.63
A;27;10;2-mixed;Wheat;3.89
A;29;18;2-mixed;Bean;1.08
A;29;18;2-mixed;OSR;2.18
A;30;3;mono;Bean;9.09
A;31;23;3-mixed;Bean;4.45
A;31;23;3-mixed;OSR;10.47
A;31;23;3-mixed;Wheat;1.38
A;32;26;3-mixed;Barley;1.91
A;32;26;3-mixed;Bean;4.02
A;32;26;3-mixed;Linseed;0.88
B;1;16;2-mixed;Bean;4.92
B;1;16;2-mixed;Pea;2.72
B;2;18;2-mixed;Bean;5.86
B;2;18;2-mixed;OSR;4.39
B;3;15;2-mixed;Barley;1.04
B;3;15;2-mixed;OSR;0.12
B;4;23;3-mixed;Bean;4.71
B;4;23;3-mixed;OSR;0.75
B;4;23;3-mixed;Wheat;0.85
B;5;28;3-mixed;Barley;1.93
B;5;28;3-mixed;Linseed;0.57
B;5;28;3-mixed;Pea;2.64
B;6;24;3-mixed;Linseed;0.85
B;6;24;3-mixed;Pea;1.80
B;6;24;3-mixed;Wheat;1.11
B;7;27;3-mixed;Barley;1.76
B;7;27;3-mixed;Bean;4.43
B;7;27;3-mixed;OSR;NA
B;8;22;3-mixed;Bean;2.70
B;8;22;3-mixed;Linseed;0.67
B;8;22;3-mixed;Wheat;1.49
B;9;14;2-mixed;Barley;2.56
B;9;14;2-mixed;Linseed;0.34
B;10;29;3-mixed;Barley;0.82
B;10;29;3-mixed;OSR;4.12
B;10;29;3-mixed;Pea;1.88
B;11;21;2-mixed;Linseed;0.23
B;11;21;2-mixed;OSR;2.35
B;13;4;mono;Pea;2.77
B;14;3;mono;Bean;5.56
B;15;12;2-mixed;Barley;3.94
B;15;12;2-mixed;Bean;5.62
B;16;7;2-mixed;Barley;2.22
B;16;7;2-mixed;Wheat;1.36
B;17;19;2-mixed;Linseed;0.52
B;17;19;2-mixed;Pea;4.33
B;18;5;mono;Linseed;0.94
B;19;11;2-mixed;OSR;2.43
B;19;11;2-mixed;Wheat;1.49
B;21;13;2-mixed;Barley;1.08
B;21;13;2-mixed;Pea;2.02
B;23;6;mono;OSR;NA
B;24;2;mono;Barley;2.10
B;25;10;2-mixed;Linseed;0.40
B;25;10;2-mixed;Wheat;1.26
B;26;25;3-mixed;OSR;3.00
B;26;25;3-mixed;Pea;3.05
B;26;25;3-mixed;Wheat;2.11
B;27;20;2-mixed;OSR;3.82
B;27;20;2-mixed;Pea;5.35
B;28;8;2-mixed;Bean;8.88
B;28;8;2-mixed;Wheat;1.08
B;29;1;mono;Wheat;1.74
B;30;17;2-mixed;Bean;6.35
B;30;17;2-mixed;Linseed;NA
B;31;9;2-mixed;Pea;4.90
B;31;9;2-mixed;Wheat;1.56
B;32;26;3-mixed;Barley;2.40
B;32;26;3-mixed;Bean;3.40
B;32;26;3-mixed;Linseed;0.84
C;1;12;2-mixed;Barley;6.02
C;1;12;2-mixed;Bean;7.43
C;2;24;3-mixed;Linseed;0.68
C;2;24;3-mixed;Pea;5.78
C;2;24;3-mixed;Wheat;2.24
C;3;11;2-mixed;OSR;4.57
C;3;11;2-mixed;Wheat;1.83
C;4;19;2-mixed;Linseed;0.92
C;4;19;2-mixed;Pea;6.42
C;5;21;2-mixed;Linseed;0.52
C;5;21;2-mixed;OSR;2.54
C;6;16;2-mixed;Bean;8.48
C;6;16;2-mixed;Pea;7.45
C;8;7;2-mixed;Barley;3.12
C;8;7;2-mixed;Wheat;3.01
C;9;27;3-mixed;Barley;1.30
C;9;27;3-mixed;Bean;9.74
C;9;27;3-mixed;OSR;11.97
C;10;20;2-mixed;OSR;2.69
C;10;20;2-mixed;Pea;8.40
C;11;3;mono;Bean;8.15
C;12;26;3-mixed;Barley;1.73
C;12;26;3-mixed;Bean;4.41
C;12;26;3-mixed;Linseed;0.90
C;13;14;2-mixed;Barley;2.00
C;13;14;2-mixed;Linseed;0.37
C;14;10;2-mixed;Linseed;0.78
C;14;10;2-mixed;Wheat;0.52
C;15;17;2-mixed;Bean;5.70
C;15;17;2-mixed;Linseed;1.13
C;16;6;mono;OSR;6.10
C;17;25;3-mixed;OSR;3.36
C;17;25;3-mixed;Pea;4.50
C;17;25;3-mixed;Wheat;2.37
C;18;8;2-mixed;Bean;4.92
C;18;8;2-mixed;Wheat;1.95
C;20;5;mono;Linseed;1.08
C;21;28;3-mixed;Barley;3.55
C;21;28;3-mixed;Linseed;0.45
C;21;28;3-mixed;Pea;3.56
C;22;22;3-mixed;Bean;4.85
C;22;22;3-mixed;Linseed;0.72
C;22;22;3-mixed;Wheat;0.90
C;23;23;3-mixed;Bean;7.89
C;23;23;3-mixed;OSR;2.41
C;23;23;3-mixed;Wheat;3.38
C;24;29;3-mixed;Barley;3.90
C;24;29;3-mixed;OSR;3.80
C;24;29;3-mixed;Pea;5.74
C;25;2;mono;Barley;1.89
C;26;15;2-mixed;Barley;1.09
C;26;15;2-mixed;OSR;3.55
C;28;1;mono;Wheat;1.78
C;29;18;2-mixed;Bean;7.33
C;29;18;2-mixed;OSR;5.11
C;30;13;2-mixed;Barley;5.60
C;30;13;2-mixed;Pea;3.39
C;31;4;mono;Pea;8.56
