delta2H,delta18O,species,diversity,biomass,block,plot,spcomp
-45.89,-6.45,Bean,mixture,4.92,B,1,BePe
-45.95,-6.41,Pea,mixture,2.72,B,1,BePe
-48.24,-6.42,Bean,mixture,5.86,B,2,BeOs
-62.8,-8.28,OSR,mixture,4.39,B,2,BeOs
-49.35,-6.72,Barley,mixture,1.04,B,3,BaOs
-46.63,-6.19,OSR,mixture,0.12,B,3,BaOs
-45.99,-6.34,Bean,mixture,4.71,B,4,BeOsWh
-47.59,-6.42,OSR,mixture,0.75,B,4,BeOsWh
-58.18,-7.63,Wheat,mixture,0.85,B,4,BeOsWh
-44.69,-5.96,Barley,mixture,1.93,B,5,BaLiPe
-44.33,-5.45,Linseed,mixture,0.57,B,5,BaLiPe
-45.71,-6.05,Pea,mixture,2.64,B,5,BaLiPe
-55.97,-8.36,Linseed,mixture,0.85,B,6,LiPeWh
-39.42,-5.24,Pea,mixture,1.8,B,6,LiPeWh
-47.02,-6.14,Wheat,mixture,1.11,B,6,LiPeWh
-44.28,-5.59,Barley,mixture,1.76,B,7,BaBeOs
-40.37,-5.74,Bean,mixture,4.43,B,7,BaBeOs
-41.86,-5.99,Bean,mixture,2.7,B,8,BeLiWh
-49.18,-6.37,Linseed,mixture,0.67,B,8,BeLiWh
-48.23,-6.42,Wheat,mixture,1.49,B,8,BeLiWh
-36.5,-4.79,Barley,mixture,2.56,B,9,BaLi
-38.22,-4.57,Linseed,mixture,0.34,B,9,BaLi
-40.0,-5.39,Barley,mixture,0.82,B,10,BaOsPe
-56.03,-7.39,OSR,mixture,4.12,B,10,BaOsPe
-40.26,-5.48,Pea,mixture,1.88,B,10,BaOsPe
-39.72,-4.63,Linseed,mixture,0.23,B,11,LiOs
-62.52,-8.45,OSR,mixture,2.35,B,11,LiOs
-40.37,-4.8,Pea,monoculture,2.77,B,13,Pe
-44.58,-6.08,Bean,monoculture,5.56,B,14,Be
-44.75,-6.06,Barley,mixture,3.94,B,15,BaBe
-39.09,-5.21,Bean,mixture,5.62,B,15,BaBe
-48.58,-6.28,Barley,mixture,2.22,B,16,BaWh
-52.91,-6.89,Wheat,mixture,1.36,B,16,BaWh
-49.08,-6.02,Linseed,mixture,0.52,B,17,LiPe
-48.96,-6.14,Pea,mixture,4.33,B,17,LiPe
-47.28,-5.85,Linseed,monoculture,0.94,B,18,Li
-54.21,-6.82,OSR,mixture,2.43,B,19,OsWh
-46.3,-5.55,Wheat,mixture,1.49,B,19,OsWh
-45.16,-5.55,Barley,mixture,1.08,B,21,BaPe
-41.65,-5.5,Pea,mixture,2.02,B,21,BaPe
-50.76,-6.66,Barley,monoculture,2.1,B,24,Ba
-42.6,-5.12,Linseed,mixture,0.4,B,25,LiWh
-45.24,-5.34,Wheat,mixture,1.26,B,25,LiWh
-63.23,-8.58,OSR,mixture,3.0,B,26,OsPeWh
-43.38,-5.7,Pea,mixture,3.05,B,26,OsPeWh
-52.12,-6.42,Wheat,mixture,2.11,B,26,OsPeWh
-63.47,-8.23,OSR,mixture,3.82,B,27,OsPe
-42.64,-5.46,Pea,mixture,5.35,B,27,OsPe
-49.88,-6.72,Bean,mixture,8.88,B,28,BeWh
-46.37,-5.48,Wheat,mixture,1.08,B,28,BeWh
-43.9,-5.44,Wheat,monoculture,1.74,B,29,Wh
-46.02,-5.78,Bean,mixture,6.35,B,30,BeLi
-36.34,-3.85,Pea,mixture,4.9,B,31,PeWh
-47.51,-5.89,Wheat,mixture,1.56,B,31,PeWh
-49.43,-6.1,Barley,mixture,2.4,B,32,BaBeLi
-45.79,-5.91,Bean,mixture,3.4,B,32,BaBeLi
-49.6,-6.17,Linseed,mixture,0.84,B,32,BaBeLi
-49.13,-6.08,Barley,mixture,1.34,D,1,BaOs
-44.77,-5.23,OSR,mixture,0.22,D,1,BaOs
-47.39,-5.86,Pea,monoculture,4.38,D,2,Pe
-42.97,-5.3,Barley,mixture,1.74,D,3,BaBe
-44.12,-5.84,Bean,mixture,2.99,D,3,BaBe
-38.36,-4.14,Barley,mixture,2.51,D,4,BaBeLi
-44.06,-5.37,Bean,mixture,7.05,D,4,BaBeLi
-42.86,-4.29,Linseed,mixture,0.45,D,4,BaBeLi
-37.34,-4.55,Pea,mixture,2.77,D,5,PeWh
-46.16,-5.65,Wheat,mixture,1.93,D,5,PeWh
-56.04,-6.84,OSR,mixture,1.86,D,6,OsWh
-45.13,-5.62,Wheat,mixture,1.16,D,6,OsWh
-46.64,-5.47,Linseed,mixture,0.87,D,7,LiPe
-43.1,-5.2,Pea,mixture,4.56,D,7,LiPe
-50.37,-6.18,Linseed,monoculture,1.55,D,8,Li
-51.37,-6.54,OSR,mixture,1.81,D,9,BeOsWh
-52.71,-7.14,Wheat,mixture,1.62,D,9,BeOsWh
-42.07,-5.47,Barley,mixture,2.45,D,10,BaLiPe
-43.82,-5.23,Linseed,mixture,0.69,D,10,BaLiPe
-41.42,-5.43,Pea,mixture,2.07,D,10,BaLiPe
-41.77,-5.44,Bean,mixture,3.5,D,11,BeOs
-55.07,-6.87,OSR,mixture,4.21,D,11,BeOs
-51.63,-6.53,OSR,mixture,3.21,D,12,OsPeWh
-40.26,-4.86,Pea,mixture,3.43,D,12,OsPeWh
-39.2,-4.61,Wheat,mixture,0.37,D,12,OsPeWh
-40.23,-5.23,Bean,mixture,4.06,D,13,BeLiWh
-36.84,-3.93,Linseed,mixture,0.56,D,13,BeLiWh
-39.94,-4.57,Wheat,mixture,3.26,D,13,BeLiWh
-57.25,-7.35,OSR,mixture,8.48,D,14,OsPe
-29.43,-3.18,Pea,mixture,2.68,D,14,OsPe
-46.55,-5.64,Linseed,mixture,0.82,D,15,LiOs
-50.15,-6.2,OSR,mixture,2.85,D,15,LiOs
-45.49,-5.92,Barley,mixture,4.14,D,16,BaLi
-43.87,-5.49,Linseed,mixture,0.73,D,16,BaLi
-45.13,-5.45,Bean,mixture,7.15,D,18,BeWh
-48.41,-5.99,Wheat,mixture,1.75,D,18,BeWh
-41.78,-5.39,Bean,mixture,5.71,D,19,BePe
-42.64,-5.52,Pea,mixture,4.16,D,19,BePe
-41.28,-5.35,Barley,monoculture,1.59,D,21,Ba
-16.18,0.03,Barley,mixture,2.69,D,22,BaPe
-39.8,-5.11,Pea,mixture,1.74,D,22,BaPe
-43.41,-6.04,Bean,mixture,8.52,D,23,BeLi
-51.06,-6.4,Linseed,mixture,1.1,D,23,BeLi
-46.32,-6.21,Bean,monoculture,3.33,D,24,Be
-52.56,-6.63,Barley,mixture,2.62,D,25,BaOsPe
-50.53,-6.39,OSR,mixture,2.3,D,25,BaOsPe
-53.2,-7.06,Pea,mixture,4.17,D,25,BaOsPe
-43.62,-5.31,Wheat,monoculture,0.99,D,27,Wh
-45.42,-5.95,Barley,mixture,2.65,D,28,BaBeOs
-45.6,-6.03,Bean,mixture,5.88,D,28,BaBeOs
-55.29,-7.13,OSR,mixture,1.21,D,28,BaBeOs
-49.11,-6.29,OSR,monoculture,2.39,D,29,Os
-44.55,-5.59,Linseed,mixture,0.72,D,30,LiPeWh
-39.7,-5.09,Pea,mixture,3.92,D,30,LiPeWh
-45.12,-5.84,Wheat,mixture,3.16,D,30,LiPeWh
-41.1,-5.08,Linseed,mixture,0.49,D,31,LiWh
-47.73,-6.09,Wheat,mixture,2.59,D,31,LiWh
-42.43,-5.33,Barley,mixture,3.19,D,32,BaWh
-48.97,-6.25,Wheat,mixture,1.8,D,32,BaWh
-52.86,-6.82,Barley,mixture,2.25,E,1,BaPe
-51.05,-6.65,Pea,mixture,3.03,E,1,BaPe
-48.89,-6.37,Bean,mixture,9.49,E,2,BePe
-50.31,-6.57,Pea,mixture,3.43,E,2,BePe
-53.76,-6.9,Barley,mixture,2.37,E,3,BaBe
-43.63,-5.29,Bean,mixture,4.21,E,3,BaBe
-43.0,-5.09,Barley,mixture,0.72,E,5,BaWh
-42.36,-4.81,Wheat,mixture,0.92,E,5,BaWh
-51.75,-6.29,Barley,monoculture,2.2,E,6,Ba
-45.23,-5.42,Linseed,mixture,0.58,E,7,LiWh
-54.44,-6.52,Wheat,mixture,1.86,E,7,LiWh
-55.28,-7.1,OSR,mixture,3.03,E,8,OsPe
-38.87,-4.87,Pea,mixture,3.66,E,8,OsPe
-45.61,-5.53,Linseed,monoculture,0.84,E,9,Li
-60.47,-8.19,OSR,mixture,6.91,E,10,OsPeWh
-36.98,-4.39,Pea,mixture,3.23,E,10,OsPeWh
-43.22,-5.43,Wheat,mixture,1.12,E,10,OsPeWh
-47.21,-5.89,Bean,mixture,4.44,E,11,BeLiWh
-44.57,-5.05,Linseed,mixture,0.3,E,11,BeLiWh
-51.55,-6.42,Wheat,mixture,3.05,E,11,BeLiWh
-49.82,-6.45,Bean,monoculture,3.11,E,12,Be
-45.69,-5.55,Barley,mixture,4.84,E,14,BaBeLi
-44.22,-5.91,Bean,mixture,7.86,E,14,BaBeLi
-41.42,-4.96,Linseed,mixture,0.41,E,14,BaBeLi
-44.8,-5.27,Linseed,mixture,0.87,E,15,LiPeWh
-36.75,-4.43,Pea,mixture,1.17,E,15,LiPeWh
