block,plot,single_com,mono_mix,spnumb,entry,spcomp,fungroup,species,delta2H,delta18O
B,1,community,mix,2,16.0,BePe,legume,Bean,-45.89,-6.45
B,1,community,mix,2,16.0,BePe,legume,Pea,-45.95,-6.41
B,2,community,mix,2,18.0,BeOs,legume,Bean,-48.24,-6.42
B,2,community,mix,2,18.0,BeOs,herb,OSR,-62.80,-8.28
B,3,community,mix,2,15.0,BaOs,cereal,Barley,-49.35,-6.72
B,3,community,mix,2,15.0,BaOs,herb,OSR,-46.63,-6.19
B,4,community,mix,3,23.0,BeOsWh,legume,Bean,-45.99,-6.34
B,4,community,mix,3,23.0,BeOsWh,herb,OSR,-47.59,-6.42
B,4,community,mix,3,23.0,BeOsWh,cereal,Wheat,-58.18,-7.63
B,5,community,mix,3,28.0,BaLiPe,cereal,Barley,-44.69,-5.96
B,5,community,mix,3,28.0,BaLiPe,herb,Linseed,-44.33,-5.45
B,5,community,mix,3,28.0,BaLiPe,legume,Pea,-45.71,-6.05
B,6,community,mix,3,24.0,LiPeWh,herb,Linseed,-55.97,-8.36
B,6,community,mix,3,24.0,LiPeWh,legume,Pea,-39.42,-5.24
B,6,community,mix,3,24.0,LiPeWh,cereal,Wheat,-47.02,-6.14
B,7,community,mix,3,27.0,BaBeOs,cereal,Barley,-44.28,-5.59
B,7,community,mix,3,27.0,BaBeOs,legume,Bean,-40.37,-5.74
B,7,community,mix,3,27.0,BaBeOs,herb,OSR,NA,NA
B,8,community,mix,3,22.0,BeLiWh,legume,Bean,-41.86,-5.99
B,8,community,mix,3,22.0,BeLiWh,herb,Linseed,-49.18,-6.37
B,8,community,mix,3,22.0,BeLiWh,cereal,Wheat,-48.23,-6.42
B,9,community,mix,2,14.0,BaLi,cereal,Barley,-36.50,-4.79
B,9,community,mix,2,14.0,BaLi,herb,Linseed,-38.22,-4.57
B,10,community,mix,3,29.0,BaOsPe,cereal,Barley,-40.00,-5.39
B,10,community,mix,3,29.0,BaOsPe,herb,OSR,-56.03,-7.39
B,10,community,mix,3,29.0,BaOsPe,legume,Pea,-40.26,-5.48
B,11,community,mix,2,21.0,LiOs,herb,Linseed,-39.72,-4.63
B,11,community,mix,2,21.0,LiOs,herb,OSR,-62.52,-8.45
B,13,community,mono,1,4.0,Pe,legume,Pea,-40.37,-4.80
B,14,community,mono,1,3.0,Be,legume,Bean,-44.58,-6.08
B,15,community,mix,2,12.0,BaBe,cereal,Barley,-44.75,-6.06
B,15,community,mix,2,12.0,BaBe,legume,Bean,-39.09,-5.21
B,16,community,mix,2,7.0,BaWh,cereal,Barley,-48.58,-6.28
B,16,community,mix,2,7.0,BaWh,cereal,Wheat,-52.91,-6.89
B,17,community,mix,2,19.0,LiPe,herb,Linseed,-49.08,-6.02
B,17,community,mix,2,19.0,LiPe,legume,Pea,-48.96,-6.14
B,18,community,mono,1,5.0,Li,herb,Linseed,-47.28,-5.85
B,19,community,mix,2,11.0,OsWh,herb,OSR,-54.21,-6.82
B,19,community,mix,2,11.0,OsWh,cereal,Wheat,-46.30,-5.55
B,21,community,mix,2,13.0,BaPe,cereal,Barley,-45.16,-5.55
B,21,community,mix,2,13.0,BaPe,legume,Pea,-41.65,-5.50
B,23,community,mono,1,6.0,Os,herb,OSR,NA,NA
B,24,community,mono,1,2.0,Ba,cereal,Barley,-50.76,-6.66
B,25,community,mix,2,10.0,LiWh,herb,Linseed,-42.60,-5.12
B,25,community,mix,2,10.0,LiWh,cereal,Wheat,-45.24,-5.34
B,26,community,mix,3,25.0,OsPeWh,herb,OSR,-63.23,-8.58
B,26,community,mix,3,25.0,OsPeWh,legume,Pea,-43.38,-5.70
B,26,community,mix,3,25.0,OsPeWh,cereal,Wheat,-52.12,-6.42
B,27,community,mix,2,20.0,OsPe,herb,OSR,-63.47,-8.23
B,27,community,mix,2,20.0,OsPe,legume,Pea,-42.64,-5.46
B,28,community,mix,2,8.0,BeWh,legume,Bean,-49.88,-6.72
B,28,community,mix,2,8.0,BeWh,cereal,Wheat,-46.37,-5.48
B,29,community,mono,1,1.0,Wh,cereal,Wheat,-43.90,-5.44
B,30,community,mix,2,17.0,BeLi,legume,Bean,-46.02,-5.78
B,30,community,mix,2,17.0,BeLi,herb,Linseed,-54.96,-7.84
B,31,community,mix,2,9.0,PeWh,legume,Pea,-36.34,-3.85
B,31,community,mix,2,9.0,PeWh,cereal,Wheat,-47.51,-5.89
B,32,community,mix,3,26.0,BaBeLi,cereal,Barley,-49.43,-6.10
B,32,community,mix,3,26.0,BaBeLi,legume,Bean,-45.79,-5.91
B,32,community,mix,3,26.0,BaBeLi,herb,Linseed,-49.60,-6.17
D,1,community,mix,2,15.0,BaOs,cereal,Barley,-49.13,-6.08
D,1,community,mix,2,15.0,BaOs,herb,OSR,-44.77,-5.23
D,2,community,mono,1,4.0,Pe,legume,Pea,-47.39,-5.86
D,3,community,mix,2,12.0,BaBe,cereal,Barley,-42.97,-5.30
D,3,community,mix,2,12.0,BaBe,legume,Bean,-44.12,-5.84
D,4,community,mix,3,26.0,BaBeLi,cereal,Barley,-38.36,-4.14
D,4,community,mix,3,26.0,BaBeLi,legume,Bean,-44.06,-5.37
D,4,community,mix,3,26.0,BaBeLi,herb,Linseed,-42.86,-4.29
D,5,community,mix,2,9.0,PeWh,legume,Pea,-37.34,-4.55
D,5,community,mix,2,9.0,PeWh,cereal,Wheat,-46.16,-5.65
D,6,community,mix,2,11.0,OsWh,herb,OSR,-56.04,-6.84
D,6,community,mix,2,11.0,OsWh,cereal,Wheat,-45.13,-5.62
D,7,community,mix,2,19.0,LiPe,herb,Linseed,-46.64,-5.47
D,7,community,mix,2,19.0,LiPe,legume,Pea,-43.10,-5.20
D,8,community,mono,1,5.0,Li,herb,Linseed,-50.37,-6.18
D,9,community,mix,3,23.0,BeOsWh,legume,Bean,NA,NA
D,9,community,mix,3,23.0,BeOsWh,herb,OSR,-51.37,-6.54
D,9,community,mix,3,23.0,BeOsWh,cereal,Wheat,-52.71,-7.14
D,10,community,mix,3,28.0,BaLiPe,cereal,Barley,-42.07,-5.47
