block,plot,depth,delta2H,delta18O
B,12,0,-30.82,-3.03
B,12,5,-36.37,-4.68
B,12,10,-44.78,-6.42
B,12,15,-53.05,-7.46
B,12,20,-56.61,-7.68
B,12,30,-64.74,-8.86
B,12,50,-68.73,-9.57
B,12,75,-69.35,-10.05
B,20,0,-27.09,-2.78
B,20,5,-45.90,-6.09
B,20,10,-50.66,-6.90
B,20,15,-54.87,-7.48
B,20,20,-49.33,-6.69
B,20,30,-65.37,-8.76
B,20,50,-72.05,-10.05
B,20,75,-69.19,-9.85
D,17,0,-32.23,-3.22
D,17,5,-42.69,-5.51
D,17,10,-49.72,-6.57
D,17,15,-49.58,-6.20
D,17,20,-53.83,-6.72
D,17,30,-62.79,-8.22
D,17,50,-69.97,-9.27
D,17,75,-65.60,-8.40
D,20,0,-30.46,-2.42
D,20,5,-36.54,-4.90
D,20,10,-42.60,-5.34
D,20,15,-49.05,-6.73
D,20,20,-54.48,-7.19
D,20,30,-64.73,-8.52
D,20,50,-72.05,-10.08
D,20,75,-72.88,-10.32
E,4,0,-31.29,-2.85
E,4,5,-39.24,-4.95
E,4,10,-43.91,-5.35
E,4,15,-57.10,-7.28
E,4,20,-60.77,-7.82
E,4,30,-70.45,-9.44
E,4,50,-76.69,-10.31
E,4,75,-75.29,-10.65
E,25,0,-32.46,-2.44
E,25,5,-37.40,-4.24
E,25,10,-43.06,-5.36
E,25,15,-49.09,-6.54
E,25,20,-61.48,-8.20
E,25,30,-59.02,-7.97
E,25,50,-66.54,-9.18
E,25,75,-74.18,-10.29
F,2,0,-31.34,-1.71
F,2,5,-34.97,-3.37
F,2,10,-37.37,-4.14
F,2,15,-50.36,-6.12
F,2,20,-58.36,-7.36
F,2,30,-64.49,-8.51
F,2,50,-72.37,-9.94
F,2,75,-74.19,-10.46
F,24,0,-29.71,-1.68
F,24,5,-38.87,-4.61
F,24,10,-41.13,-5.21
F,24,15,-45.05,-5.25
F,24,20,-59.48,-7.38
F,24,30,-56.10,-7.36
F,24,50,-71.44,-9.38
F,24,75,-65.62,-9.11
