Source,delta2H,delta18O
Shallow (0-10 cm),-30.82,-3.03
Shallow (0-10 cm),-36.37,-4.68
Shallow (0-10 cm),-44.78,-6.42
Middle (15-30 cm),-53.05,-7.46
Middle (15-30 cm),-56.61,-7.68
Middle (15-30 cm),-64.74,-8.86
Deep (50-75 cm),-68.73,-9.57
Deep (50-75 cm),-69.35,-10.05
Shallow (0-10 cm),-27.09,-2.78
Shallow (0-10 cm),-45.9,-6.09
Shallow (0-10 cm),-50.66,-6.9
Middle (15-30 cm),-54.87,-7.48
Middle (15-30 cm),-49.33,-6.69
Middle (15-30 cm),-65.37,-8.76
Deep (50-75 cm),-72.05,-10.05
Deep (50-75 cm),-69.19,-9.85
Shallow (0-10 cm),-32.23,-3.22
Shallow (0-10 cm),-42.69,-5.51
Shallow (0-10 cm),-49.72,-6.57
Middle (15-30 cm),-49.58,-6.2
Middle (15-30 cm),-53.83,-6.72
Middle (15-30 cm),-62.79,-8.22
Deep (50-75 cm),-69.97,-9.27
Deep (50-75 cm),-65.6,-8.4
Shallow (0-10 cm),-30.46,-2.42
Shallow (0-10 cm),-36.54,-4.9
Shallow (0-10 cm),-42.6,-5.34
Middle (15-30 cm),-49.05,-6.73
Middle (15-30 cm),-54.48,-7.19
Middle (15-30 cm),-64.73,-8.52
Deep (50-75 cm),-72.05,-10.08
Deep (50-75 cm),-72.88,-10.32
Shallow (0-10 cm),-31.29,-2.85
Shallow (0-10 cm),-39.24,-4.95
Shallow (0-10 cm),-43.91,-5.35
Middle (15-30 cm),-57.1,-7.28
Middle (15-30 cm),-60.77,-7.82
Middle (15-30 cm),-70.45,-9.44
Deep (50-75 cm),-76.69,-10.31
Deep (50-75 cm),-75.29,-10.65
Shallow (0-10 cm),-32.46,-2.44
Shallow (0-10 cm),-37.4,-4.24
Shallow (0-10 cm),-43.06,-5.36
Middle (15-30 cm),-49.09,-6.54
Middle (15-30 cm),-61.48,-8.2
Middle (15-30 cm),-59.02,-7.97
Deep (50-75 cm),-66.54,-9.18
Deep (50-75 cm),-74.18,-10.29
Shallow (0-10 cm),-31.34,-1.71
Shallow (0-10 cm),-34.97,-3.37
Shallow (0-10 cm),-37.37,-4.14
Middle (15-30 cm),-50.36,-6.12
Middle (15-30 cm),-58.36,-7.36
Middle (15-30 cm),-64.49,-8.51
Deep (50-75 cm),-72.37,-9.94
Deep (50-75 cm),-74.19,-10.46
Shallow (0-10 cm),-29.71,-1.68
Shallow (0-10 cm),-38.87,-4.61
Shallow (0-10 cm),-41.13,-5.21
Middle (15-30 cm),-45.05,-5.25
Middle (15-30 cm),-59.48,-7.38
Middle (15-30 cm),-56.1,-7.36
Deep (50-75 cm),-71.44,-9.38
Deep (50-75 cm),-65.62,-9.11
